S.No,X,Y,Amplitude,Time Stamp
0,667,400,0,
1,119,347,266,
2,123,360,200,
3,127,350,250,
4,131,350,250,
5,135,350,250,
6,139,300,501,
7,143,307,467,
8,147,277,618,
9,151,300,501,
10,155,290,551,
11,159,298,514,
12,163,400,0,
13,171,400,0,19:4:8 15/8/2016
14,179,288,561,
15,183,287,566,
16,187,284,582,
17,191,274,633,
18,195,304,484,
19,199,367,166,
20,203,367,166,
21,207,364,184,
22,211,370,151,
23,215,377,117,
24,219,381,99,
25,223,380,100,
26,227,383,85,
27,231,384,84,
28,235,384,84,
29,239,387,66,
30,243,387,67,
31,247,384,83,
32,251,384,84,
33,255,264,683,
34,259,287,566,
35,263,292,544,
36,267,294,534,
37,271,301,499,
38,275,364,183,
39,279,280,600,
40,283,330,350,
41,287,371,148,
42,291,344,283,
43,295,304,483,
44,299,364,184,
45,303,370,151,
46,307,334,334,
47,311,400,0,
48,319,400,0,19:4:31 15/8/2016
49,327,307,466,
50,331,294,533,
51,335,293,536,
52,339,284,584,
53,343,374,133,
54,347,377,116,
55,351,367,168,
56,355,387,68,
57,359,287,567,
58,363,290,551,
59,367,291,546,
60,371,286,571,
61,375,364,182,
62,379,380,101,
63,383,377,116,
64,387,384,82,
65,391,294,533,
66,395,292,543,
67,399,283,586,
68,403,293,536,
69,407,380,100,
70,411,380,100,
71,415,384,84,
72,419,380,100,
73,423,330,351,
74,427,297,517,
75,431,294,532,
76,435,290,553,
77,439,307,468,
78,443,384,83,
79,447,384,82,
80,451,384,83,
81,455,257,717,
82,459,400,0,
83,467,400,0,19:4:54 15/8/2016
84,475,344,284,
85,479,327,366,
86,483,291,549,
87,487,317,416,
88,491,304,483,
89,495,317,416,
90,499,360,201,
91,503,374,133,
92,507,377,115,
93,511,367,166,
94,515,294,533,
95,519,310,450,
96,523,400,0,
97,531,400,0,19:5:7 15/8/2016
98,539,364,184,
99,543,374,131,
100,547,377,116,
101,551,377,116,
102,555,377,118,
103,559,377,117,
104,563,380,100,
105,567,377,119,
106,571,380,100,
107,575,380,100,
108,579,384,84,
109,583,377,116,
110,587,384,82,
111,591,377,117,
112,595,381,99,
113,599,380,100,
114,603,380,100,
115,607,383,85,
116,611,377,115,
117,615,384,83,
118,619,387,66,
119,623,384,83,
120,627,381,99,
121,631,377,118,
122,635,384,84,
123,639,294,534,
124,643,216,920,
125,647,143,1285,
126,651,194,1033,
127,655,243,786,
128,659,384,83,
129,663,384,84,
