S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,88,381,99,
2,94,308,464,
3,100,353,235,
4,106,317,416,
5,112,324,383,
6,118,324,382,
7,124,306,474,
8,130,325,379,
9,136,311,446,
10,142,325,379,
11,148,326,372,
12,154,315,426,
13,160,302,490,
14,166,337,315,
15,172,332,343,
16,178,374,130,
17,184,322,394,
18,190,313,436,
19,196,291,546,
20,202,234,830,
21,208,294,533,
22,214,322,393,
23,220,310,454,
24,226,315,425,
25,232,316,423,
26,238,317,416,
27,244,310,450,
28,250,324,383,
29,256,317,417,
30,262,324,383,
31,268,324,383,
32,274,341,299,
33,280,337,317,
34,286,360,203,
35,292,400,0,
36,304,400,0,1h3m34s 16D8M2016Y
37,316,332,344,
38,322,304,484,
39,328,338,312,
40,334,303,485,
41,340,338,313,
42,346,310,453,
43,352,297,516,
44,358,285,578,
45,364,263,688,
46,370,291,547,
47,376,222,891,
48,382,263,688,
49,388,249,757,
50,394,250,751,
51,400,253,739,
52,406,266,672,
53,412,232,844,
54,418,182,1094,
55,424,231,849,
56,430,197,1019,
57,436,266,672,
58,442,228,860,
59,448,260,703,
60,454,197,1016,
61,460,272,641,
62,466,178,1110,
63,472,279,609,
64,478,332,344,
65,484,363,187,
66,490,344,282,
67,496,375,125,
68,502,363,188,
69,508,363,187,
70,514,322,391,
71,520,319,406,
72,526,319,406,
73,532,244,781,
74,538,291,547,
75,544,241,797,
76,550,360,203,
77,556,297,516,
78,562,325,375,
79,568,300,500,
80,574,335,329,
81,580,297,516,
82,586,332,344,
83,592,297,516,
84,598,335,329,
85,604,294,532,
86,610,329,359,
87,616,301,497,
88,622,335,328,
89,628,303,485,
90,634,332,344,
91,640,300,500,
92,646,325,375,
93,652,307,469,
94,658,338,312,
95,664,304,484,
96,670,329,359,
97,676,300,500,
98,682,341,297,
99,688,307,469,
100,694,350,250,
101,700,310,453,
102,706,372,141,
103,712,310,454,
104,718,316,422,
105,724,319,406,
106,730,341,297,
107,736,382,94,
108,742,350,250,
109,748,388,62,
110,754,400,0,
111,766,400,0,1h4m30s 16D8M2016Y
112,778,313,438,
113,784,363,188,
114,790,300,500,
115,796,310,453,
116,802,300,500,
117,808,313,437,
118,814,316,422,
119,820,316,422,
120,826,310,453,
121,832,322,391,
122,838,310,453,
123,844,322,391,
124,850,300,500,
125,856,316,422,
126,862,294,531,
127,868,322,391,
128,874,294,531,
129,880,325,375,
130,886,300,500,
131,892,325,375,
132,898,304,484,
133,904,332,344,
134,910,304,484,
135,916,338,313,
136,922,313,437,
137,928,341,297,
138,934,316,422,
139,940,372,141,
140,946,316,422,
141,952,322,391,
142,958,344,281,
143,964,369,156,
144,970,369,156,
145,976,400,0,
146,988,400,0,1h5m0s 16D8M2016Y
